Rank,Name,Assoc,Points
565,Stefan TODOROV,BUL,258
566,KANG Wi Hun,PRK,258
567,Yuma TANIGAKI,JPN,255
568,Georgios STAMATOUROS,GRE,255
569,Javier BENITO,ESP,255
570,CHO Jaejun,KOR,255
571,Marko PETKOV,SRB,255
572,David MCBEATH,ENG,253
573,Temuulen MYANDAL,MGL,252
574,Essa ALBLOOSHI,UAE,252
575,Emir GARYAGDYYEV,TKM,252
576,Alexis ORENCEL,ARG,252
577,Cristian CHIRITA,ROU,252
578,Supuna WARUSAWITHANA,SRI,252
579,Christ BIENATIKI,CGO,252
580,Samuel AKAYADE,GHA,252
581,Samuel GALVEZ,DOM,252
582,Ravil AHMEDOV,TKM,252
583,Yijun FENG,USA,249
584,REN Hao,CHN,249
585,Patrik JUHASZ,HUN,247
586,Tyrese KNIGHT,BAR,246
587,Christian KILL,LUX,246
588,Csaba ANDRAS,HUN,243
589,DOAN Ba Tuan Anh,VIE,243
590,Alessandro BACIOCCHI,ITA,243
591,Aleksandr SMIRNOV,EST,243
592,Federico GIARDI,SMR,241
593,Allan GUTIERREZ,GUA,239
594,CHEN Chun-Hsiang,TPE,237
595,HUANG Chien-Tu,TPE,237
596,Rock EL HAKIM,LBN,237
597,Carlos ISHIDA,BRA,234
598,Satoshi AIDA,JPN,234
599,Purshottam BAJRACHARYA,NEP,234
600,Nelson VILLANUEVA,VEN,234
601,Hristo HRISTONOV,CYP,233
602,Konstantinos PAPAGEORGIOU,GRE,233
603,YAN Sheng,CHN,231
604,Abhishek YADAV,IND,231
605,Oleksandr DIDUKH,UKR,231
606,Ebrahim Abdulhakim GUBRAN,YEM,225
607,WONG Qi Shen,MAS,223
608,Muhannad AL BALUSHI,OMA,222
609,Fabian AKERSTROM,SWE,222
610,LI Hsin-Yu,TPE,219
611,Islombek SULTONOV,UZB,219
612,Ryan SAHAJASEIN,MRI,216
613,Hafidh Nuur ANNAFI,INA,216
614,Ryan DESSCANN,MRI,216
615,Zayyan SK. HOSSEIN,MRI,216
616,SaadEddine HABACH,LBN,216
617,GOH Christopher,MAS,216
618,Regis KIASSI,CGO,216
619,Nicholas ESTHER,SEY,216
620,Dorian BANANE,SEY,216
621,Mohammad AHMED,MRI,216
622,Mukhammed AKHMEDZHANOV,KGZ,216
623,Mohammed ALSHARIF,KSA,216
624,Mick CREA,SEY,216
625,Beni LUKATIKISU,COD,216
626,CHOE Il,PRK,216
627,Chameera GINIGE,SRI,216
628,Viktor BRODD,SWE,216
629,Hampus NORDBERG,SWE,216
630,Godfrey SULTAN,SEY,216
631,Adrien CERVEAUX,NCL,216
632,Ferdinand SOUNOU,BEN,216
633,Jakub ZELINKA,SVK,215
634,Ivor BAN,CRO,213
635,Gabriel PEREZ,PUR,213
636,Makanjuola KAZEEM,NGR,213
637,Fikri Faqih FADILAH,INA,213
638,Abdulaziz ANORBOEV,UZB,212
639,Salim KARAM,MAR,210
640,Birgir IVARSSON,ISL,210
641,Michel LIGNANDZI,CGO,210
642,Sebestyen KOVACS,HUN,210
643,Darara Mokonen DUFERA,ETH,210
644,Chetan NATHOO,RSA,210
645,Carlo ROSSI,ITA,209
646,Filip CIPIN,CRO,207
647,Asuka SAKAI,JPN,207
648,LEE Chia-Sheng,TPE,207
649,Petyo KRASTEV,BUL,207
650,Vallot VAINULA,EST,207
651,Gheth FADHEL,IRQ,204
652,Takeru KASHIWA,JPN,204
653,OH Minseo,KOR,204
654,Deepash BHAGWANI,INA,204
655,BAEK Hogyun,KOR,204
656,Miikka OCONNOR,FIN,204
657,Marco RECH DALDOSSO,ITA,204
658,Igor NI,MDA,204
659,Anton KOTOV,RUS,201
660,Rashed RASHED,BRN,201
661,Komgrit SANGPAO,THA,201
662,Adrian MORATO,ESP,198
663,YANG Sanghyun,KOR,198
664,Gavin MAGUIRE,IRL,198
665,Noredi BONGO,COD,195
666,Jan ZANDECKI,POL,195
667,Thor CHRISTENSEN,DEN,195
668,Isaac VILA,DOM,195
669,Kay STUMPER,GER,194
670,Fatih KARABAXHAK,KOS,194
671,TAN Lucas,SGP,192
672,YANG Zhi-Xing,TPE,192
673,Artur ABUSEV,RUS,192
674,Martin PINTOS,ESP,192
675,Jonathan BIZAKU,COD,192
676,Rado RASOLOMALALA,MAD,192
677,Rashmika Krishan WIKKRAMARATHNA,SRI,190
678,Marco NAVAS,VEN,190
679,Kossi AKAKPO,TOG,189
680,Julian RAMOS,COL,189
681,Evgeny TSOI,KGZ,189
682,Mohamed KRICHEL,MAR,189
683,Willhelm PERCAN KINDBLAD ,SWE,186
684,Azeez Olugbenga JAMIU,NGR,186
685,Arjun GHOSH,IND,184
686,Marco GOLLA,POL,183
687,Nutchapat SIRIPATTANANUNTAKUL,THA,183
688,Brian MUTUA,KEN,183
689,Ali Afsin GUL,TUR,183
690,Matas SKUCAS,LTU,183
691,Aissa BELKADI,ALG,183
692,Nirmala JAYASINGHA,SRI,182
693,SU Zhi,HKG,180
694,YU Zong Jun Gerald,SGP,180
695,Fahad KHAWAJA,PAK,180
696,Florian BLUHM,GER,180
697,David REITSPIES,CZE,180
698,Muhammad RAMEEZ,PAK,180
699,KONG Lingxuan,CHN,180
700,Kentaro MIUCHI,JPN,180
701,Laurent SENS,NCL,180
702,Darius MOVILEANU,ROU,178
703,Mohammad SALAMEH,JOR,177
704,Samuli SOINE,FIN,177
705,Simon TOMLINSON,JAM,177
706,Tal ISRAELI,ISR,176
707,Mauricio BERNALES,CHI,174
708,Lilian BARDET,FRA,173
709,Abdelbasset CHAICHI,ALG,171
710,Owen CATHCART,IRL,171
711,Leonardo Alberto CASTILLO HERRERA,PAN,171
712,Francisco Miguel RUIZ,ESP,168
713,Miguel WONG,GUY,168
714,Omar AMMOUS,TUN,168
715,Emmanuel COMMEY,GHA,168
716,Josiah WANDERA,KEN,168
717,Kennedy KOJAL,KEN,168
718,Mohamed GUEYE,SEN,168
719,Jose Manuel RUIZ,ESP,168
720,Tomas KOLDAS,CZE,167
721,Tarek AL-SAMHOURY,AUT,167
722,Stanislav TYAN,UZB,167
723,Masud Rana PARAG,BAN,166
724,Andrii GREBENIUK,UKR,165
725,Mustafa BAKHTIYARI,AFG,165
